num1,num2,count
7,18,36
18,19,35
1,39,33
24,26,32
31,39,32
2,22,31
3,19,31
8,24,31
22,46,31
5,46,30
7,30,30
8,28,30
9,19,30
11,20,30
12,28,30
28,36,30
1,2,29
7,12,29
11,41,29
16,24,29
17,41,29
24,43,29
24,48,29
27,32,29
28,41,29
38,40,29
39,45,29
2,21,28
2,39,28
5,6,28
5,7,28
6,46,28
9,24,28
9,30,28
11,22,28
11,24,28
16,17,28
19,34,28
19,46,28
22,25,28
22,47,28
24,39,28
26,28,28
26,39,28
28,29,28
37,39,28
2,12,27
2,30,27
2,38,27
5,31,27
6,30,27
7,48,27
9,32,27
16,19,27
17,19,27
17,34,27
18,40,27
19,38,27
22,32,27
23,31,27
25,44,27
26,35,27
29,39,27
38,45,27
1,45,26
2,10,26
2,15,26
2,32,26
2,35,26
4,44,26
5,18,26
7,10,26
7,14,26
7,19,26
7,22,26
7,35,26
8,30,26
9,37,26
11,26,26
12,13,26
15,47,26
16,47,26
17,38,26
18,46,26
19,25,26
23,28,26
24,25,26
24,31,26
25,36,26
25,41,26
28,31,26
30,34,26
46,47,26
1,3,25
2,16,25
2,43,25
3,33,25
3,45,25
4,29,25
5,28,25
5,32,25
8,16,25
12,25,25
12,30,25
12,37,25
13,36,25
17,27,25
19,31,25
24,46,25
25,26,25
26,29,25
26,42,25
26,46,25
28,43,25
28,47,25
29,30,25
30,31,25
31,48,25
34,38,25
38,43,25
39,44,25
1,15,24
1,16,24
1,30,24
2,11,24
2,25,24
2,47,24
3,37,24
5,22,24
5,29,24
5,33,24
6,19,24
6,32,24
7,8,24
7,24,24
7,26,24
8,32,24
9,22,24
9,25,24
9,31,24
10,25,24
12,22,24
12,34,24
13,19,24
13,28,24
14,24,24
15,24,24
15,39,24
16,22,24
16,30,24
16,39,24
17,28,24
18,22,24
18,25,24
19,22,24
19,26,24
19,28,24
25,30,24
25,31,24
26,36,24
28,32,24
28,38,24
28,40,24
30,37,24
30,45,24
34,45,24
37,46,24
38,47,24
39,46,24
1,6,23
1,28,23
1,32,23
2,9,23
3,13,23
3,28,23
3,42,23
5,12,23
6,40,23
7,15,23
7,20,23
7,29,23
7,32,23
7,38,23
7,49,23
8,9,23
8,20,23
8,46,23
9,21,23
10,14,23
10,19,23
10,24,23
11,19,23
11,38,23
11,44,23
12,29,23
12,36,23
12,39,23
12,45,23
13,30,23
13,35,23
13,47,23
13,49,23
14,26,23
14,36,23
15,25,23
15,49,23
16,21,23
16,31,23
16,45,23
17,22,23
17,32,23
17,39,23
18,27,23
19,27,23
19,32,23
19,36,23
19,47,23
20,44,23
21,24,23
21,28,23
21,32,23
22,30,23
24,40,23
25,34,23
26,41,23
27,28,23
28,30,23
28,34,23
29,31,23
30,36,23
30,38,23
31,34,23
33,39,23
34,46,23
35,36,23
36,48,23
40,46,23
44,45,23
1,19,22
1,26,22
1,29,22
1,42,22
2,24,22
2,28,22
2,37,22
2,40,22
2,46,22
3,6,22
3,20,22
3,22,22
4,7,22
5,15,22
5,38,22
5,39,22
6,18,22
6,24,22
6,28,22
6,31,22
6,34,22
6,36,22
6,44,22
7,16,22
7,31,22
7,37,22
7,40,22
7,41,22
7,44,22
8,17,22
8,39,22
10,36,22
10,45,22
11,17,22
11,28,22
11,42,22
11,43,22
12,41,22
12,47,22
13,25,22
13,26,22
14,15,22
14,46,22
15,18,22
15,19,22
15,28,22
15,36,22
15,46,22
16,33,22
16,40,22
18,38,22
19,41,22
20,22,22
20,26,22
20,28,22
21,37,22
21,40,22
24,36,22
24,41,22
25,38,22
25,46,22
26,34,22
26,37,22
26,47,22
30,32,22
31,35,22
31,36,22
32,34,22
32,36,22
32,40,22
36,45,22
37,43,22
38,48,22
39,47,22
39,49,22
44,46,22
1,5,21
1,21,21
1,24,21
1,35,21
1,36,21
2,8,21
2,14,21
2,20,21
2,27,21
2,29,21
2,44,21
3,25,21
3,31,21
5,9,21
5,37,21
5,48,21
6,22,21
6,42,21
6,47,21
7,34,21
7,36,21
7,47,21
8,15,21
8,34,21
8,41,21
9,28,21
9,36,21
9,39,21
9,41,21
10,16,21
10,35,21
10,47,21
11,33,21
11,36,21
11,39,21
12,15,21
12,35,21
12,38,21
12,44,21
13,45,21
14,34,21
14,48,21
15,16,21
15,21,21
15,29,21
15,41,21
16,36,21
17,20,21
17,48,21
18,24,21
18,26,21
18,41,21
19,29,21
19,39,21
19,42,21
19,44,21
19,49,21
20,24,21
20,29,21
20,30,21
20,35,21
20,46,21
20,47,21
22,37,21
22,41,21
23,39,21
23,40,21
24,28,21
24,30,21
25,28,21
25,48,21
26,48,21
27,30,21
27,38,21
30,35,21
30,39,21
30,46,21
30,49,21
31,37,21
31,38,21
32,35,21
32,38,21
32,46,21
33,45,21
33,47,21
34,39,21
35,38,21
35,39,21
35,42,21
36,39,21
36,42,21
37,38,21
38,39,21
38,46,21
40,43,21
44,49,21
45,47,21
1,11,20
1,20,20
1,31,20
1,47,20
2,4,20
2,5,20
2,6,20
2,18,20
2,19,20
2,23,20
2,49,20
3,8,20
3,11,20
3,47,20
4,5,20
4,32,20
4,40,20
5,11,20
5,47,20
6,16,20
6,17,20
6,25,20
7,13,20
7,45,20
8,26,20
8,33,20
8,37,20
8,38,20
8,47,20
9,35,20
10,26,20
11,25,20
11,49,20
12,18,20
12,24,20
12,49,20
13,37,20
13,48,20
14,17,20
14,35,20
14,45,20
15,20,20
16,32,20
16,38,20
17,25,20
17,36,20
18,20,20
18,31,20
18,32,20
18,37,20
19,21,20
19,24,20
19,40,20
20,31,20
20,48,20
21,43,20
22,45,20
22,49,20
23,36,20
23,47,20
24,42,20
24,47,20
25,32,20
26,43,20
28,39,20
28,45,20
28,48,20
29,38,20
29,46,20
30,42,20
32,37,20
33,44,20
33,46,20
33,49,20
34,47,20
35,47,20
36,37,20
36,43,20
36,46,20
36,47,20
38,41,20
40,42,20
40,48,20
42,44,20
42,45,20
43,44,20
1,12,19
1,18,19
1,27,19
1,33,19
1,34,19
1,46,19
2,13,19
2,26,19
2,31,19
2,34,19
2,36,19
2,42,19
2,45,19
3,23,19
3,29,19
3,34,19
3,40,19
3,43,19
3,44,19
4,28,19
4,35,19
4,46,19
5,13,19
5,20,19
5,23,19
5,36,19
6,12,19
6,29,19
6,37,19
6,39,19
6,45,19
7,11,19
7,39,19
7,46,19
8,12,19
8,21,19
8,31,19
9,14,19
9,17,19
9,48,19
10,15,19
10,18,19
10,28,19
10,34,19
10,38,19
11,23,19
12,21,19
12,26,19
12,32,19
12,33,19
12,43,19
13,14,19
13,24,19
13,46,19
14,18,19
14,19,19
14,20,19
14,25,19
14,41,19
15,22,19
15,30,19
15,35,19
15,43,19
15,45,19
16,29,19
16,44,19
16,49,19
17,24,19
18,29,19
18,39,19
18,44,19
18,47,19
19,30,19
19,37,19
19,48,19
20,40,19
21,30,19
21,31,19
21,34,19
21,38,19
21,45,19
22,28,19
22,29,19
22,31,19
22,43,19
23,41,19
23,43,19
24,44,19
24,49,19
25,29,19
25,39,19
25,45,19
27,44,19
28,37,19
29,35,19
29,36,19
29,42,19
29,47,19
30,33,19
30,40,19
34,48,19
35,45,19
36,40,19
36,44,19
39,48,19
43,49,19
1,4,18
1,7,18
1,10,18
1,13,18
1,17,18
1,25,18
1,38,18
1,41,18
2,3,18
2,33,18
2,48,18
3,5,18
3,7,18
3,10,18
3,21,18
3,36,18
3,38,18
4,8,18
4,15,18
4,16,18
4,18,18
4,24,18
4,25,18
4,27,18
4,30,18
5,8,18
5,24,18
5,25,18
5,26,18
5,35,18
5,41,18
5,49,18
6,7,18
6,27,18
7,17,18
7,23,18
7,25,18
7,28,18
7,42,18
8,11,18
8,19,18
8,25,18
9,15,18
9,16,18
9,20,18
9,26,18
9,27,18
9,38,18
9,46,18
10,11,18
10,29,18
10,42,18
11,16,18
11,29,18
11,47,18
13,18,18
13,20,18
13,33,18
14,30,18
14,38,18
14,39,18
14,47,18
15,26,18
15,44,18
15,48,18
16,18,18
16,27,18
16,35,18
17,23,18
18,28,18
18,48,18
20,21,18
21,29,18
21,36,18
21,39,18
22,24,18
22,26,18
22,35,18
22,44,18
23,25,18
24,27,18
26,30,18
26,45,18
26,49,18
27,35,18
27,45,18
29,44,18
30,47,18
30,48,18
31,33,18
31,45,18
32,33,18
32,39,18
32,47,18
33,36,18
34,37,18
35,43,18
36,38,18
36,49,18
37,44,18
39,40,18
40,47,18
42,47,18
43,47,18
44,48,18
